"caseID","timeStamp","userID","targetApp","eventType","url","content","target.workbookName","target.sheetName","target.id","target.class","target.tagName","target.type","target.name","target.value","target.innerText","target.checked","target.href","target.option","target.title","target.innerHTML"
"42","2019-10-21T01:04:23.177Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","Hungary","","","","","INPUT","text","SingleLine1","","","","","","",""
"42","2019-10-21T01:04:23.466Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","SingleLine1","Hungary","","","","","",""
"42","2019-10-21T01:05:05.297Z","vleno","Chrome","clickButton","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","BUTTON","submit","","submit","Submit","","","","","\n<em>Submit</em>\n"
"13","2019-10-21T00:27:09.756Z","vleno","Excel","copyCell","","Ukraine","StudentRecords.xlsx","Sheet1","F14","","","","","Ukraine","","","","","",""
"13","2019-10-21T00:27:11.377Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","Ukraine","","","","","INPUT","text","SingleLine1","","","","","","",""
"13","2019-10-21T00:27:11.673Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","SingleLine1","Ukraine","","","","","",""
"13","2019-10-21T00:27:41.195Z","vleno","Chrome","clickButton","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","BUTTON","submit","","submit","Submit","","","","","\n<em>Submit</em>\n"
"23","2019-10-21T00:39:24.140Z","vleno","Excel","copyCell","","Ukraine","StudentRecords.xlsx","Sheet1","F24","","","","","Ukraine","","","","","",""
"23","2019-10-21T00:39:25.377Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","Ukraine","","","","","INPUT","text","SingleLine1","","","","","","",""
"23","2019-10-21T00:39:25.625Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","SingleLine1","Ukraine","","","","","",""
"23","2019-10-21T00:40:09.069Z","vleno","Chrome","clickButton","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","BUTTON","submit","","submit","Submit","","","","","\n<em>Submit</em>\n"
"33","2019-10-21T00:52:03.041Z","vleno","Excel","copyCell","","China","StudentRecords.xlsx","Sheet1","F34","","","","","China","","","","","",""
"33","2019-10-21T00:52:05.194Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","China","","","","","INPUT","text","SingleLine1","","","","","","",""
"33","2019-10-21T00:52:05.481Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","SingleLine1","China","","","","","",""
"33","2019-10-21T00:52:33.458Z","vleno","Chrome","clickButton","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","BUTTON","submit","","submit","Submit","","","","","\n<em>Submit</em>\n"
"43","2019-10-21T01:05:46.035Z","vleno","Excel","copyCell","","New Zealand","StudentRecords.xlsx","Sheet1","F44","","","","","New Zealand","","","","","",""
"43","2019-10-21T01:05:47.849Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","New Zealand","","","","","INPUT","text","SingleLine1","","","","","","",""
"43","2019-10-21T01:05:48.130Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","SingleLine1","New Zealand","","","","","",""
"43","2019-10-21T01:06:15.953Z","vleno","Chrome","clickButton","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","BUTTON","submit","","submit","Submit","","","","","\n<em>Submit</em>\n"
"14","2019-10-21T00:28:17.644Z","vleno","Excel","copyCell","","Canada","StudentRecords.xlsx","Sheet1","F15","","","","","Canada","","","","","",""
"14","2019-10-21T00:28:19.192Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","Canada","","","","","INPUT","text","SingleLine1","","","","","","",""
"14","2019-10-21T00:28:19.424Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","SingleLine1","Canada","","","","","",""
"14","2019-10-21T00:28:47.783Z","vleno","Chrome","clickButton","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","BUTTON","submit","","submit","Submit","","","","","\n<em>Submit</em>\n"
"24","2019-10-21T00:40:52.276Z","vleno","Excel","copyCell","","Kazakhstan","StudentRecords.xlsx","Sheet1","F25","","","","","Kazakhstan","","","","","",""
"24","2019-10-21T00:40:53.758Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","Kazakhstan","","","","","INPUT","text","SingleLine1","","","","","","",""
"24","2019-10-21T00:40:54.089Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","SingleLine1","Kazakhstan","","","","","",""
"24","2019-10-21T00:41:23.268Z","vleno","Chrome","clickButton","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","BUTTON","submit","","submit","Submit","","","","","\n<em>Submit</em>\n"
"34","2019-10-21T00:53:16.481Z","vleno","Excel","copyCell","","South Korea","StudentRecords.xlsx","Sheet1","F35","","","","","South Korea","","","","","",""
"34","2019-10-21T00:53:18.113Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","South Korea","","","","","INPUT","text","SingleLine1","","","","","","",""
"34","2019-10-21T00:53:18.370Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","SingleLine1","South Korea","","","","","",""
"34","2019-10-21T00:53:47.477Z","vleno","Chrome","clickButton","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","BUTTON","submit","","submit","Submit","","","","","\n<em>Submit</em>\n"
"44","2019-10-21T01:06:55.335Z","vleno","Excel","copyCell","","New Zealand","StudentRecords.xlsx","Sheet1","F45","","","","","New Zealand","","","","","",""
"44","2019-10-21T01:06:56.972Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","New Zealand","","","","","INPUT","text","SingleLine1","","","","","","",""
"44","2019-10-21T01:06:57.201Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","SingleLine1","New Zealand","","","","","",""
"44","2019-10-21T01:07:25.224Z","vleno","Chrome","clickButton","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","BUTTON","submit","","submit","Submit","","","","","\n<em>Submit</em>\n"
"15","2019-10-21T00:29:27.390Z","vleno","Excel","copyCell","","Spain","StudentRecords.xlsx","Sheet1","F16","","","","","Spain","","","","","",""
"15","2019-10-21T00:29:28.885Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","Spain","","","","","INPUT","text","SingleLine1","","","","","","",""
"15","2019-10-21T00:29:29.121Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","SingleLine1","Spain","","","","","",""
"15","2019-10-21T00:30:02.803Z","vleno","Chrome","clickButton","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","BUTTON","submit","","submit","Submit","","","","","\n<em>Submit</em>\n"
"25","2019-10-21T00:42:03.636Z","vleno","Excel","copyCell","","Australia","StudentRecords.xlsx","Sheet1","F26","","","","","Australia","","","","","",""
"25","2019-10-21T00:42:06.536Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","Australia","","","","","INPUT","text","SingleLine1","","","","","","",""
"25","2019-10-21T00:42:06.969Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","SingleLine1","Australia","","","","","",""
"25","2019-10-21T00:42:34.634Z","vleno","Chrome","clickButton","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","BUTTON","submit","","submit","Submit","","","","","\n<em>Submit</em>\n"
"35","2019-10-21T00:55:14.903Z","vleno","Excel","copyCell","","Russia","StudentRecords.xlsx","Sheet1","F36","","","","","Russia","","","","","",""
"35","2019-10-21T00:55:16.677Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","Russia","","","","","INPUT","text","SingleLine1","","","","","","",""
"35","2019-10-21T00:55:16.898Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","SingleLine1","Russia","","","","","",""
"35","2019-10-21T00:55:50.004Z","vleno","Chrome","clickButton","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","BUTTON","submit","","submit","Submit","","","","","\n<em>Submit</em>\n"
"45","2019-10-21T01:08:01.139Z","vleno","Excel","copyCell","","Norway","StudentRecords.xlsx","Sheet1","F46","","","","","Norway","","","","","",""
"45","2019-10-21T01:08:02.605Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","Norway","","","","","INPUT","text","SingleLine1","","","","","","",""
"45","2019-10-21T01:08:02.866Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","SingleLine1","Norway","","","","","",""
"45","2019-10-21T01:08:28.911Z","vleno","Chrome","clickButton","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","BUTTON","submit","","submit","Submit","","","","","\n<em>Submit</em>\n"
"16","2019-10-21T00:30:41.461Z","vleno","Excel","copyCell","","Netherlands","StudentRecords.xlsx","Sheet1","F17","","","","","Netherlands","","","","","",""
"16","2019-10-21T00:30:42.833Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","Netherlands","","","","","INPUT","text","SingleLine1","","","","","","",""
"16","2019-10-21T00:30:43.113Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","SingleLine1","Netherlands","","","","","",""
"16","2019-10-21T00:31:12.608Z","vleno","Chrome","clickButton","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","BUTTON","submit","","submit","Submit","","","","","\n<em>Submit</em>\n"
"26","2019-10-21T00:43:14.187Z","vleno","Excel","copyCell","","Australia","StudentRecords.xlsx","Sheet1","F27","","","","","Australia","","","","","",""
"26","2019-10-21T00:43:15.389Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","Australia","","","","","INPUT","text","SingleLine1","","","","","","",""
"26","2019-10-21T00:43:15.649Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","SingleLine1","Australia","","","","","",""
"26","2019-10-21T00:43:47.095Z","vleno","Chrome","clickButton","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","BUTTON","submit","","submit","Submit","","","","","\n<em>Submit</em>\n"
